year,month,country_code,country_name_en,country_name_th,unit2th,quantity,acc_quantity,value_usd,acc_value_usd,value_baht,acc_value_baht
2017,1,CN,CHINA,จีน,เมตริกตัน,150820.18,150820.18,272060422.0,272060422.0,9698246701.0,9698246701.0
2017,1,MY,MALAYSIA,มาเลเซีย,เมตริกตัน,45562.94,45562.94,58590401.0,58590401.0,2088595454.0,2088595454.0
2017,1,JP,JAPAN,ญี่ปุ่น,เมตริกตัน,17349.24,17349.24,34470213.0,34470213.0,1228773478.0,1228773478.0
2017,1,US,U.S.A.,สหรัฐอเมริกา,เมตริกตัน,15175.17,15175.17,27765133.0,27765133.0,989754808.0,989754808.0
2017,1,KR,S. KOREA,เกาหลีใต้,เมตริกตัน,11895.26,11895.26,21042334.0,21042334.0,750104499.0,750104499.0
2017,1,BR,BRAZIL,บราซิล,เมตริกตัน,5756.38,5756.38,10288414.0,10288414.0,366755207.0,366755207.0
2017,1,IN,INDIA,อินเดีย,เมตริกตัน,4956.12,4956.12,9568051.0,9568051.0,341076142.0,341076142.0
2017,1,DE,GERMANY,เยอรมนี,เมตริกตัน,5152.94,5152.94,9434107.0,9434107.0,336301387.0,336301387.0
2017,1,FR,FRANCE,ฝรั่งเศส,เมตริกตัน,3870.84,3870.84,7517621.0,7517621.0,267983630.0,267983630.0
2017,1,ES,SPAIN,สเปน,เมตริกตัน,3559.44,3559.44,6837958.0,6837958.0,243755411.0,243755411.0
2017,1,IT,ITALY,อิตาลี,เมตริกตัน,3339.12,3339.12,6613972.0,6613972.0,235770898.0,235770898.0
2017,1,TW,TAIWAN,ไต้หวัน,เมตริกตัน,2989.43,2989.43,5864550.0,5864550.0,209055961.0,209055961.0
2017,1,TR,TURKEY,ตุรกี,เมตริกตัน,3278.07,3278.07,5675094.0,5675094.0,202302334.0,202302334.0
2017,1,NL,NETHERLANDS,เนเธอร์แลนด์,เมตริกตัน,2771.17,2771.17,5439465.0,5439465.0,193902775.0,193902775.0
