year,month,country_code,country_name_en,country_name_th,unit2th,quantity,acc_quantity,value_usd,acc_value_usd,value_baht,acc_value_baht
2017,1,US,U.S.A.,สหรัฐอเมริกา,,0.0,0.0,361827920.0,361827920.0,12898224602.0,12898224602.0
2017,1,HK,HONG KONG,ฮ่องกง,,0.0,0.0,207846948.0,207846948.0,7409203281.0,7409203281.0
2017,1,CN,CHINA,จีน,,0.0,0.0,121571603.0,121571603.0,4333711565.0,4333711565.0
2017,1,NL,NETHERLANDS,เนเธอร์แลนด์,,0.0,0.0,110636504.0,110636504.0,3943903703.0,3943903703.0
2017,1,MY,MALAYSIA,มาเลเซีย,,0.0,0.0,86877926.0,86877926.0,3096972181.0,3096972181.0
2017,1,JP,JAPAN,ญี่ปุ่น,,0.0,0.0,68148975.0,68148975.0,2429333782.0,2429333782.0
2017,1,MX,MEXICO,เม็กซิโก,,0.0,0.0,63724288.0,63724288.0,2271605174.0,2271605174.0
2017,1,DE,GERMANY,เยอรมนี,,0.0,0.0,49351102.0,49351102.0,1759238459.0,1759238459.0
2017,1,SG,SINGAPORE,สิงคโปร์,,0.0,0.0,36132801.0,36132801.0,1288040417.0,1288040417.0
2017,1,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,,0.0,0.0,22247803.0,22247803.0,793076324.0,793076324.0
2017,1,PH,PHILIPPINES,ฟิลิปปินส์,,0.0,0.0,17424269.0,17424269.0,621129874.0,621129874.0
2017,1,IE,IRELAND,ไอร์แลนด์,,0.0,0.0,15762622.0,15762622.0,561896507.0,561896507.0
2017,1,KR,S. KOREA,เกาหลีใต้,,0.0,0.0,15161559.0,15161559.0,540470161.0,540470161.0
2017,1,IN,INDIA,อินเดีย,,0.0,0.0,13756047.0,13756047.0,490367326.0,490367326.0
2017,1,HU,HUNGARY,ฮังการี,,0.0,0.0,12988115.0,12988115.0,462992523.0,462992523.0
2017,1,PL,POLAND,โปแลนด์,,0.0,0.0,11933954.0,11933954.0,425414431.0,425414431.0
2017,1,AE,U. ARAB EMIRATES,สหรัฐอาหรับเอมิเรตส์,,0.0,0.0,11797644.0,11797644.0,420555336.0,420555336.0
2017,1,TW,TAIWAN,ไต้หวัน,,0.0,0.0,11794729.0,11794729.0,420451436.0,420451436.0
2017,1,AU,AUSTRALIA,ออสเตรเลีย,,0.0,0.0,10150778.0,10150778.0,361848829.0,361848829.0
2017,1,ID,INDONESIA,อินโดนีเซีย,,0.0,0.0,6723792.0,6723792.0,239685714.0,239685714.0
2017,1,GB,UNITED KINGDOM,สหราชอาณาจักร,,0.0,0.0,6111925.0,6111925.0,217874243.0,217874243.0
2017,1,MM,MYANMAR,เมียนม่า,,0.0,0.0,5778180.0,5778180.0,205977103.0,205977103.0
2017,1,FR,FRANCE,ฝรั่งเศส,,0.0,0.0,5168829.0,5168829.0,184255327.0,184255327.0
2017,1,VN,VIETNAM,เวียดนาม,,0.0,0.0,4880480.0,4880480.0,173976421.0,173976421.0
2017,1,FI,FINLAND,ฟินแลนด์,,0.0,0.0,3518269.0,3518269.0,125417150.0,125417150.0
2017,1,BE,BELGIUM,เบลเยียม,,0.0,0.0,3076427.0,3076427.0,109666608.0,109666608.0
2017,1,CA,CANADA,แคนาดา,,0.0,0.0,2974590.0,2974590.0,106036407.0,106036407.0
2017,1,BR,BRAZIL,บราซิล,,0.0,0.0,2848289.0,2848289.0,101534107.0,101534107.0
2017,1,TR,TURKEY,ตุรกี,,0.0,0.0,2721591.0,2721591.0,97017643.0,97017643.0
2017,1,ZA,SOUTH AFRICA,แอฟริกาใต้,,0.0,0.0,1444111.0,1444111.0,51478785.0,51478785.0
2017,1,LA,LAOS,ลาว,,0.0,0.0,1370451.0,1370451.0,48853022.0,48853022.0
2017,1,NZ,NEW ZEALAND,นิวซีแลนด์,,0.0,0.0,1225483.0,1225483.0,43685285.0,43685285.0
2017,1,SE,SWEDEN,สวีเดน,,0.0,0.0,1031108.0,1031108.0,36756325.0,36756325.0
2017,1,KH,CAMBODIA,กัมพูชา,,0.0,0.0,973249.0,973249.0,34693804.0,34693804.0
2017,1,PA,PANAMA,ปานามา,,0.0,0.0,887118.0,887118.0,31623444.0,31623444.0
2017,1,CH,SWITZERLAND,สวิตเซอร์แลนด์,,0.0,0.0,878978.0,878978.0,31333263.0,31333263.0
2017,1,IL,ISRAEL,อิสราเอล,,0.0,0.0,819448.0,819448.0,29211198.0,29211198.0
2017,1,ES,SPAIN,สเปน,,0.0,0.0,643554.0,643554.0,22941013.0,22941013.0
2017,1,RU,RUSSIAN FEDERATION,รัสเซีย,,0.0,0.0,417404.0,417404.0,14879370.0,14879370.0
2017,1,AT,AUSTRIA,ออสเตรีย,,0.0,0.0,397251.0,397251.0,14160981.0,14160981.0
2017,1,RO,ROMANIA,โรมาเนีย,,0.0,0.0,328662.0,328662.0,11715933.0,11715933.0
2017,1,UY,URUGUAY,อุรุกวัย,,0.0,0.0,297019.0,297019.0,10587942.0,10587942.0
2017,1,IT,ITALY,อิตาลี,,0.0,0.0,288041.0,288041.0,10267910.0,10267910.0
2017,1,SI,SLOVENIA,สโลวีเนีย,,0.0,0.0,248995.0,248995.0,8876028.0,8876028.0
2017,1,SK,SLOVAK,สโลวัก,,0.0,0.0,210899.0,210899.0,7518012.0,7518012.0
2017,1,CL,CHILE,ชิลี,,0.0,0.0,174889.0,174889.0,6234328.0,6234328.0
2017,1,GR,GREECE,กรีซ,,0.0,0.0,173892.0,173892.0,6198802.0,6198802.0
2017,1,PK,PAKISTAN,ปากีสถาน,,0.0,0.0,158904.0,158904.0,5664532.0,5664532.0
2017,1,DK,DENMARK,เดนมาร์ก,,0.0,0.0,153142.0,153142.0,5459119.0,5459119.0
2017,1,BG,BULGARIA,บัลแกเรีย,,0.0,0.0,131045.0,131045.0,4671426.0,4671426.0
2017,1,HR,CROATIA,โครเอเชีย,,0.0,0.0,66240.0,66240.0,2361266.0,2361266.0
2017,1,LV,LATVIA,ลัตเวีย,,0.0,0.0,53808.0,53808.0,1918127.0,1918127.0
2017,1,MA,MOROCCO,โมร็อกโก,,0.0,0.0,41978.0,41978.0,1496416.0,1496416.0
2017,1,LK,SRI LANKA,ศรีลังกา,,0.0,0.0,38918.0,38918.0,1387313.0,1387313.0
2017,1,PE,PERU,เปรู,,0.0,0.0,37765.0,37765.0,1346208.0,1346208.0
2017,1,SA,SAUDI ARABIA,ซาอุดีอาระเบีย,,0.0,0.0,35318.0,35318.0,1258981.0,1258981.0
2017,1,QA,QATAR,กาตาร์,,0.0,0.0,34898.0,34898.0,1244030.0,1244030.0
2017,1,EG,EGYPT,อียิปต์,,0.0,0.0,32525.0,32525.0,1159424.0,1159424.0
2017,1,NP,NEPAL,เนปาล,,0.0,0.0,31337.0,31337.0,1117090.0,1117090.0
2017,1,TN,TUNISIA,ตูนีเซีย,,0.0,0.0,21477.0,21477.0,765617.0,765617.0
2017,2,US,U.S.A.,สหรัฐอเมริกา,,0.0,0.0,380593953.0,742421873.0,13339856116.0,26238080718.0
2017,2,HK,HONG KONG,ฮ่องกง,,0.0,0.0,231147894.0,438994842.0,8101756797.0,15510960078.0
2017,2,CN,CHINA,จีน,,0.0,0.0,134584813.0,256156416.0,4717211152.0,9050922717.0
2017,2,NL,NETHERLANDS,เนเธอร์แลนด์,,0.0,0.0,85170877.0,195807380.0,2985247742.0,6929151445.0
2017,2,MY,MALAYSIA,มาเลเซีย,,0.0,0.0,91778394.0,178656320.0,3216841874.0,6313814055.0
2017,2,JP,JAPAN,ญี่ปุ่น,,0.0,0.0,64455049.0,132604024.0,2259155903.0,4688489685.0
2017,2,MX,MEXICO,เม็กซิโก,,0.0,0.0,44025196.0,107749483.0,1543087513.0,3814692687.0
2017,2,DE,GERMANY,เยอรมนี,,0.0,0.0,54405868.0,103756969.0,1906931110.0,3666169569.0
2017,2,SG,SINGAPORE,สิงคโปร์,,0.0,0.0,37956733.0,74089534.0,1330387278.0,2618427695.0
2017,2,CZ,CZECH REPUBLIC,สาธารณรัฐเช็ก,,0.0,0.0,23332442.0,45580245.0,817804438.0,1610880762.0
2017,2,PH,PHILIPPINES,ฟิลิปปินส์,,0.0,0.0,15678633.0,33102902.0,549537660.0,1170667534.0
2017,2,IN,INDIA,อินเดีย,,0.0,0.0,16921024.0,30677071.0,593083570.0,1083450896.0
2017,2,IE,IRELAND,ไอร์แลนด์,,0.0,0.0,14479100.0,30241722.0,507493888.0,1069390395.0
2017,2,PL,POLAND,โปแลนด์,,0.0,0.0,16772903.0,28706857.0,587891934.0,1013306365.0
2017,2,KR,S. KOREA,เกาหลีใต้,,0.0,0.0,13104567.0,28266126.0,459316392.0,999786553.0
2017,2,AE,U. ARAB EMIRATES,สหรัฐอาหรับเอมิเรตส์,,0.0,0.0,12494663.0,24292307.0,437939189.0,858494525.0
2017,2,TW,TAIWAN,ไต้หวัน,,0.0,0.0,11650252.0,23444981.0,408342489.0,828793925.0
2017,2,HU,HUNGARY,ฮังการี,,0.0,0.0,9731626.0,22719741.0,341094455.0,804086978.0
2017,2,AU,AUSTRALIA,ออสเตรเลีย,,0.0,0.0,9540133.0,19690911.0,334382617.0,696231446.0
2017,2,ID,INDONESIA,อินโดนีเซีย,,0.0,0.0,6707630.0,13431422.0,235103089.0,474788803.0
2017,2,FR,FRANCE,ฝรั่งเศส,,0.0,0.0,7368511.0,12537340.0,258267030.0,442522357.0
2017,2,VN,VIETNAM,เวียดนาม,,0.0,0.0,7381124.0,12261604.0,258709125.0,432685546.0
2017,2,GB,UNITED KINGDOM,สหราชอาณาจักร,,0.0,0.0,5200407.0,11312332.0,182274777.0,400149020.0
2017,2,MM,MYANMAR,เมียนม่า,,0.0,0.0,4584634.0,10362815.0,160691897.0,366669000.0
2017,2,CA,CANADA,แคนาดา,,0.0,0.0,4120666.0,7095256.0,144429742.0,250466149.0
2017,2,FI,FINLAND,ฟินแลนด์,,0.0,0.0,2819093.0,6337362.0,98809500.0,224226650.0
2017,2,BE,BELGIUM,เบลเยียม,,0.0,0.0,2651275.0,5727701.0,92927442.0,202594050.0
2017,2,BR,BRAZIL,บราซิล,,0.0,0.0,1913778.0,4762067.0,67078112.0,168612219.0
2017,2,TR,TURKEY,ตุรกี,,0.0,0.0,1234081.0,3955672.0,43254675.0,140272318.0
2017,2,ZA,SOUTH AFRICA,แอฟริกาใต้,,0.0,0.0,2128227.0,3572338.0,74594575.0,126073360.0
2017,2,LA,LAOS,ลาว,,0.0,0.0,2181328.0,3551779.0,76455754.0,125308776.0
2017,2,ES,SPAIN,สเปน,,0.0,0.0,2245942.0,2889496.0,78720503.0,101661516.0
2017,2,NZ,NEW ZEALAND,นิวซีแลนด์,,0.0,0.0,1586080.0,2811563.0,55592276.0,99277561.0
2017,2,CH,SWITZERLAND,สวิตเซอร์แลนด์,,0.0,0.0,1018085.0,1897062.0,35683967.0,67017230.0
2017,2,IL,ISRAEL,อิสราเอล,,0.0,0.0,995195.0,1814643.0,34881694.0,64092892.0
2017,2,KH,CAMBODIA,กัมพูชา,,0.0,0.0,792979.0,1766229.0,27794009.0,62487813.0
2017,2,AT,AUSTRIA,ออสเตรีย,,0.0,0.0,1341920.0,1739171.0,47034425.0,61195406.0
2017,2,SE,SWEDEN,สวีเดน,,0.0,0.0,589492.0,1620601.0,20661766.0,57418091.0
