year,month,country_code,country_name_en,country_name_th,unit2th,quantity,acc_quantity,value_usd,acc_value_usd,value_baht,acc_value_baht
2017,1,PH,PHILIPPINES,ฟิลิปปินส์,เมตริกตัน,116009.6,116009.6,39935703.0,39935703.0,1423603987.0,1423603987.0
2017,1,US,U.S.A.,สหรัฐอเมริกา,เมตริกตัน,40642.03,40642.03,28523872.0,28523872.0,1016801861.0,1016801861.0
2017,1,CN,CHINA,จีน,เมตริกตัน,51682.4,51682.4,25867054.0,25867054.0,922093214.0,922093214.0
2017,1,AO,ANGOLA,อังโกลา,เมตริกตัน,64872.95,64872.95,23759334.0,23759334.0,846958485.0,846958485.0
2017,1,JP,JAPAN,ญี่ปุ่น,เมตริกตัน,57173.68,57173.68,20546338.0,20546338.0,732423542.0,732423542.0
2017,1,BJ,BENIN,เบนิน,เมตริกตัน,55954.86,55954.86,20399974.0,20399974.0,727206044.0,727206044.0
2017,1,CM,CAMEROON,แคเมอรูน,เมตริกตัน,48665.5,48665.5,16402545.0,16402545.0,584708077.0,584708077.0
2017,1,ZA,SOUTH AFRICA,แอฟริกาใต้,เมตริกตัน,42758.45,42758.45,15490493.0,15490493.0,552195793.0,552195793.0
2017,1,CI,COTE D'LVOIRE,โกตดิวัวร์,เมตริกตัน,39588.24,39588.24,13620525.0,13620525.0,485536292.0,485536292.0
2017,1,HK,HONG KONG,ฮ่องกง,เมตริกตัน,16431.03,16431.03,11871980.0,11871980.0,423205231.0,423205231.0
2017,1,SN,SENEGAL,เซเนกัล,เมตริกตัน,33803.82,33803.82,10448570.0,10448570.0,372464372.0,372464372.0
2017,1,MZ,MOZAMBIQUE,โมซัมบิก,เมตริกตัน,30711.93,30711.93,10095450.0,10095450.0,359876545.0,359876545.0
2017,1,SG,SINGAPORE,สิงคโปร์,เมตริกตัน,8184.04,8184.04,6026888.0,6026888.0,214842886.0,214842886.0
2017,1,GH,GHANA,กานา,เมตริกตัน,12659.74,12659.74,5945612.0,5945612.0,211945621.0,211945621.0
2017,1,KE,KENYA,เคนยา,เมตริกตัน,13294.65,13294.65,4762130.0,4762130.0,169757562.0,169757562.0
2017,1,CG,CONGO,คองโก,เมตริกตัน,13271.03,13271.03,4351953.0,4351953.0,155135819.0,155135819.0
2017,1,PG,PAPUA NEW GUINEA,ปาปัวนิวกินี,เมตริกตัน,7197.5,7197.5,3790681.0,3790681.0,135127920.0,135127920.0
2017,1,MY,MALAYSIA,มาเลเซีย,เมตริกตัน,6623.0,6623.0,3756160.0,3756160.0,133897329.0,133897329.0
2017,1,AU,AUSTRALIA,ออสเตรเลีย,เมตริกตัน,5527.69,5527.69,3692034.0,3692034.0,131611395.0,131611395.0
2017,1,CA,CANADA,แคนาดา,เมตริกตัน,5259.57,5259.57,3675435.0,3675435.0,131019719.0,131019719.0
2017,1,SA,SAUDI ARABIA,ซาอุดีอาระเบีย,เมตริกตัน,6308.9,6308.9,3623995.0,3623995.0,129186016.0,129186016.0
2017,1,FR,FRANCE,ฝรั่งเศส,เมตริกตัน,4952.29,4952.29,3305637.0,3305637.0,117837381.0,117837381.0
2017,1,GB,UNITED KINGDOM,สหราชอาณาจักร,เมตริกตัน,5868.05,5868.05,3207016.0,3207016.0,114321793.0,114321793.0
